               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087549,            0.028951,            0.058335,           0.0039202,           0.0082707,           0.0020289,          0.00074271,            0.082204,            0.014268,            0.054901,            0.070091,           0.0033232,           0.0033232
                   1,            0.083835,            0.029777,            0.053378,            0.015606,            0.063571,           0.0061219,           0.0016139,            0.078004,            0.014562,            0.050136,            0.040025,           0.0065907,           0.0065907
                   2,            0.076469,            0.030664,            0.050586,            0.045256,            0.040671,            0.004318,           0.0010717,             0.07739,            0.019622,            0.050558,           0.0098931,           0.0097921,           0.0097921
                   3,            0.068653,             0.03112,            0.047802,             0.48007,            0.033552,           0.0044097,           0.0014894,            0.073101,            0.019451,             0.05287,            0.009703,            0.009703,            0.009703
                   4,            0.063498,            0.030538,            0.045156,             0.15913,             0.15507,            0.074924,            0.019072,            0.068893,            0.015782,            0.043864,            0.009703,            0.009703,            0.009703
                   5,            0.059892,            0.029829,            0.043071,              0.1453,             0.16272,            0.083018,            0.024357,            0.068951,            0.013619,            0.044515,            0.009604,            0.009604,            0.009604
                   6,            0.057496,            0.028724,            0.040459,             0.26313,             0.36244,             0.26117,            0.092119,            0.057118,            0.013821,            0.034724,            0.009505,            0.009505,            0.009505
                   7,            0.054973,            0.027493,             0.03863,             0.37953,             0.34526,             0.30763,             0.11629,            0.056109,            0.013241,            0.035223,            0.009406,            0.009406,            0.009406
                   8,            0.053221,            0.027305,            0.036744,             0.39471,              0.3972,             0.33552,             0.12645,             0.05258,            0.011937,            0.032087,            0.009307,            0.009307,            0.009307
                   9,            0.052607,            0.026708,            0.035232,             0.43936,             0.44625,             0.41148,              0.1675,            0.053274,            0.012093,            0.028717,            0.009208,            0.009208,            0.009208
                  10,            0.051763,            0.026514,            0.034563,             0.47857,             0.46799,             0.42204,             0.17128,            0.050877,            0.011697,            0.026699,            0.009109,            0.009109,            0.009109
                  11,            0.051028,            0.025902,            0.032916,             0.48981,             0.34495,             0.33959,             0.14185,            0.055845,            0.011723,            0.035101,             0.00901,             0.00901,             0.00901
                  12,            0.050019,            0.025861,            0.032395,             0.52616,             0.50791,             0.48189,             0.21912,            0.050469,            0.010769,            0.026712,            0.008911,            0.008911,            0.008911
                  13,            0.049551,            0.025749,            0.031188,             0.50303,             0.50655,             0.47231,             0.21837,            0.048457,             0.01071,            0.025696,            0.008812,            0.008812,            0.008812
                  14,            0.048833,            0.025975,            0.030559,             0.53463,             0.48994,             0.48918,             0.21565,            0.048475,             0.01108,            0.024379,            0.008713,            0.008713,            0.008713
                  15,            0.048422,            0.025522,            0.030088,             0.51708,             0.48784,             0.44548,             0.19953,             0.04934,            0.010592,            0.027373,            0.008614,            0.008614,            0.008614
                  16,            0.047538,            0.025029,            0.029721,             0.49107,             0.43226,             0.41154,             0.17609,            0.050886,            0.011444,            0.023177,            0.008515,            0.008515,            0.008515
                  17,            0.047638,            0.024544,            0.029043,             0.53516,             0.49799,             0.50406,             0.23431,            0.048838,            0.010651,            0.023613,            0.008416,            0.008416,            0.008416
                  18,            0.047016,            0.024931,            0.029093,              0.6039,              0.5764,             0.57817,              0.2805,            0.046543,           0.0099708,            0.022684,            0.008317,            0.008317,            0.008317
                  19,            0.046614,            0.024689,            0.027831,             0.57474,             0.53441,             0.52493,               0.246,             0.04677,            0.010529,            0.021088,            0.008218,            0.008218,            0.008218
                  20,            0.046121,            0.024227,            0.026842,             0.64284,             0.56804,             0.57595,             0.27411,            0.045992,            0.010005,            0.021186,            0.008119,            0.008119,            0.008119
                  21,            0.045902,            0.023597,            0.027101,              0.6106,             0.60099,             0.58806,             0.28263,            0.046527,            0.010114,            0.020382,             0.00802,             0.00802,             0.00802
                  22,            0.045743,            0.024392,            0.026913,             0.61365,             0.57307,             0.56651,             0.26987,            0.046199,           0.0099825,            0.022393,            0.007921,            0.007921,            0.007921
                  23,            0.045502,            0.023873,            0.026084,             0.62234,             0.58371,             0.59034,             0.28643,            0.045367,           0.0099771,            0.020378,            0.007822,            0.007822,            0.007822
                  24,            0.045222,            0.024063,            0.026375,             0.62896,             0.55179,             0.55154,             0.26696,            0.044664,            0.010069,            0.023856,            0.007723,            0.007723,            0.007723
                  25,            0.045087,            0.024323,            0.024907,             0.62045,             0.58443,             0.58892,             0.29028,            0.045316,           0.0097315,            0.020655,            0.007624,            0.007624,            0.007624
                  26,            0.045183,            0.024051,            0.024321,             0.61231,             0.60212,             0.59279,             0.29642,            0.044785,           0.0098726,            0.019131,            0.007525,            0.007525,            0.007525
                  27,            0.044845,            0.023675,            0.024934,              0.6474,             0.61726,             0.61835,             0.30065,            0.044731,            0.010095,            0.018625,            0.007426,            0.007426,            0.007426
                  28,            0.044361,            0.023772,            0.024468,             0.66121,             0.58506,             0.62281,             0.30588,            0.045325,           0.0099549,            0.020008,            0.007327,            0.007327,            0.007327
                  29,            0.044403,            0.024076,             0.02373,             0.68868,             0.61233,             0.63083,             0.31315,            0.044525,           0.0094328,            0.018469,            0.007228,            0.007228,            0.007228
                  30,            0.043609,            0.024128,            0.024015,             0.65973,             0.59611,             0.62187,             0.30978,             0.04417,           0.0097257,            0.019132,            0.007129,            0.007129,            0.007129
